targets,preds
13898.756,13828.71229416132
13910.785999999998,13888.391765834094
13949.266,13909.946729685546
13923.039825236,13963.767281970979
13877.148,13944.504297301772
13903.469999999998,13901.170046226978
13913.473999999998,13893.354003841398
13891.295999999998,13920.631170416831
13932.356000000002,13887.128521336863
13959.354,13895.26738310194
13919.906,13954.475528662202
13897.15624647,13932.551393764017
13925.854,13907.060848937987
13905.182,13922.560210795404
13900.402000000002,13918.816897367476
13891.354,13895.960286535621
13880.638,13894.678696301176
13881.532,13890.288206951142
13906.115999999998,13883.81353205371
13881.866000000002,13900.357259459735
13868.314000000002,13887.93109256196
13876.358000000002,13873.727141296507
13864.198,13864.492446476459
13859.03,13867.522196761607
13858.024,13863.107477484347
13792.996,13861.692806403877
13829.94,13821.17833109844
13835.329999999998,13817.757625196218
13868.316,13835.587996670009
13862.502,13876.576018346786
13873.962,13855.377324201107
13878.13,13881.295675578118
13919.042,13876.958328466413
13919.976,13911.242171414853
13917.058,13919.342731953622
13928.818,13923.18717907691
13901.614,13929.868114296198
13881.796000000002,13908.543741083384
13892.374,13880.199581229688
13906.476,13875.150584004403
13918.594,13904.972356563329
13934.324000000002,13910.720322399377
13932.758000000002,13933.498136090757
13915.548,13938.180070860148
13915.784,13923.934093018055
13918.442,13906.630153073667
13925.842,13920.799316761973
13937.852,13926.506319016458
13927.666,13934.560224153043
13926.13,13948.208678094863
13931.314000000002,13926.150678428172
13927.682,13929.489217139482
13907.920000000002,13928.317359246494
13916.782,13921.393359515667
13928.442,13912.186617990732
13947.136000000002,13921.9955763886
13950.070000000003,13943.353657371283
13948.886000000002,13941.37583888054
13952.13,13959.033658913611
13995.204000000002,13952.18239455843
14068.672,14101.070429473879
14051.842,14120.119471607211
14073.736,14090.92053009868
14067.622,14084.800349324942
14055.190000000002,14073.066283072472
14020.143999999998,14066.796145313263
13975.785999999998,14024.304865038157
13974.758000000002,13988.169759855748
13957.23,13965.080694599628
13962.984,14006.246700338128
13994.14,13954.8576169672
13976.070000000003,13975.103755178568
13968.69,13984.705214128735
13981.353999999998,13971.048120378255
13961.002,13980.3266068182
13907.432349808,13971.889128422736
13916.772,13913.06645101011
13931.24617191,13910.528810446858
13923.053999999998,13932.62864610183
13934.544,13926.960793770313
13967.194,13924.614774934244
13952.64,13961.877123178483
13954.346,13953.314004753343
13952.795999999998,13950.13792085695
13956.5,13949.896136569976
14002.622,13954.290100628376
14027.676,14093.415393447875
14044.46,14027.331521644353
14036.512,14051.584549045085
14003.728,14047.779675483704
13990.647999999996,14025.884565158844
14007.622,14006.600894258021
13990.257999999998,14002.510490646362
13979.55,13992.087182992937
13969.396,13975.180861945151
13938.512,13972.000158154484
13900.884000000002,13959.725182597518
13925.224000000002,13911.555994253633
13959.118,13919.535448792576
13938.286000000002,13943.407612656594
13931.9,13949.257567930223
13930.84,13931.67650174618
13937.456,13933.829523254397
13886.784,13937.817244265676
13852.538,13902.34534151137
13826.712,13854.8283629179
13831.22,13824.203229811192
13824.05,13817.27907688427
13823.782,13810.891471813202
13846.491999999998,13826.34261570096
13871.052,14096.494652057647
13871.63,13864.93486503601
13917.256,13869.65715958476
13889.256,13912.616597620248
13867.383999999998,13899.73308594179
13876.353999999998,13881.920838405133
13868.295,13873.749950015545
13853.7175,13861.518011936187
13843.9375,13888.206268232345
13874.466,13846.128996812342
13849.09,13870.305453161118
13874.9825,13850.220240846276
13893.013690554002,13862.315166419148
13908.097999999998,13882.02867334336
13932.053999999998,13901.000564261198
13929.399557129998,13905.72715380907
13925.862,13954.723132334351
13917.658,13936.20676824337
13893.11,13921.661889233827
13887.57,13898.491111704467
13899.3525,13887.017432515711
13899.205,13895.532947097658
13908.3325,13898.274569708108
13949.728,13924.864088166953
13975.290000000005,13945.207184804678
13976.35,14024.048226763309
13986.964000000002,14017.37281785369
13956.078,13993.938481783867
13953.978,13970.466489376067
13956.124000000002,13957.641394341592
13985.322,13952.426315683128
13987.115999999998,13994.820675907136
13985.414,13981.82200317335
13988.976,13988.39132541275
13988.34,13988.148554118636
13963.556,13991.914030905247
13943.194,13951.688876256465
13940.9,13947.915534022331
13953.9,13938.081196829797
13984.858000000002,13946.375520282983
13971.994,13966.803606486797
13988.576,13967.788955637216
14008.576,13978.490171945095
14026.291999999998,14002.648611617087
14023.853999999998,14031.725884749652
14006.678,14024.601706843616
13977.09,14027.066809349059
14006.863999999998,13994.332976043701
14012.996,14009.810462152001
14012.8,14017.232104484794
14026.702,14006.40917409253
14022.959999999995,14020.524474720954
14022.258000000002,14026.012673576353
14035.040000000005,14034.899324550628
14025.736,14041.830853652953
14009.922,14029.624853838919
13997.118,14007.374211802478
14009.723999999998,14026.368423615218
14003.818,14000.967172946934
13980.462,14003.342930464745
13949.985490418,13984.359252744198
13953.824,13951.032475369335
13969.308,13958.63764008951
13965.518,13976.939228978872
13978.512,13991.659891733407
13965.090000000002,13974.349632528361
13968.286000000002,13970.651211807251
13961.820000000003,13975.597729632855
13956.151999999998,13959.040187407256
13957.882,13957.957344743729
13966.656,13959.925055860878
13960.976,13962.926716494205
13982.534,13963.664131536487
13985.888,13976.385955457685
13985.604,14000.088720687389
13994.507999999998,13991.631992042543
13987.392000000002,13998.88825353241
13984.06,13991.316621818303
13979.386,13987.893699069979
13976.16,13984.856254558325
13993.16,13980.170841588018
13982.679999999997,13992.717762039187
13988.820000000003,13981.411089556217
13981.832586554,13987.911674197197
13975.836,13982.169579792022
13980.882,13978.707454566955
13982.654,13977.491881601807
13981.516,13980.16600384355
13997.252000000002,13981.034206440283
13995.412,13990.342292826175
13994.822,14002.595129364967
14002.462,13997.272381927014
13991.785999999998,14001.141705587863
13994.486,13998.09798145056
13988.128,13989.831258458615
13987.226,13992.9434798007
13982.216,13996.83170897603
13962.702,13982.773227481483
13912.816,13969.5770198133
13916.782,13923.986209421158
13861.453999999998,13916.096906791568
13814.482,13878.502079148293
13815.594,13827.092344775318
13824.097999999998,13803.281246786119
13813.053999999998,13822.95007065749
13793.893999999998,13815.35495189905
13819.814000000002,13794.09196521914
13806.754,13817.204714308262
13806.782,13814.87024293339
13853.604000000005,13802.182853975772
13840.382,13828.108204842803
13840.74,13845.005161140682
13862.473999999998,13842.483052523614
13872.55,13859.205454938172
13831.856000000002,13880.788984140878
13849.238,13839.166847099423
13835.28890574,13847.412376699447
13820.246,13841.096798482893
13853.028,13901.672305572032
13827.925999999998,13842.484717395784
13820.030000000002,13843.32426907873
13822.352000000004,13826.179025021906
13801.302,13820.942893222093
13790.381999999998,13815.26356467247
13789.806,13782.012634769675
13791.55,13791.14398029268
13813.916,13791.803487671856
13811.836,13800.027758981823
13785.582,13847.689805600165
13792.31767618,13788.684056693673
13816.622,13805.552636831999
13826.651999999998,13812.778097745419
13819.186000000003,13817.355065174102
13818.074000000002,13812.60392364049
13784.094,13820.775011930977
13790.582,13779.834698415518
13763.686000000003,13797.251890741823
13706.453999999998,13796.214998186115
13702.714846892,13705.059143419625
13763.238,13697.077943245768
13735.014,13768.3210633986
13764.786000000002,13752.84222225118
13793.456,13753.044069455622
13788.002,13784.317518383068
13786.610972452,13791.274381118774
13788.666,13775.544745572566
13802.97,13790.122988046887
13822.108000000002,13798.640503408433
13830.507999999998,13811.364953713894
13845.609999999995,13831.81029216802
13870.049053536,13838.132623616695
13864.122,13866.852649812698
13853.747999999998,13900.025557132723
13872.982,13859.271656922338
13868.272,13873.284358233208
13871.328,13870.89230726979
13865.516,13868.088557121277
13881.874,13864.089664549825
13882.742000000002,13883.447172540664
13897.819999999998,13875.690028886796
13894.596,13876.209401092528
13879.698,13899.296282794476
13865.216,13894.366450097323
13863.256,13866.880941844942
13850.622,13863.415116730926
13855.52,13850.196310197114
13843.834000000004,13847.385532634496
13866.75,13848.449362304687
13873.712,13874.6376552248
13868.208,13870.58077250862
13877.776000000002,13873.718504371644
13864.342,13883.738583230022
13873.978,13871.894277334213
13876.291999999998,13876.536819099425
13867.103999999998,13872.083145858765
13856.288,13867.356841869356
13816.6,13859.030034631252
13802.044,13820.804061047435
13831.344,13802.434387210367
13873.983690554,13822.606187553403
13880.169623842,13860.35803088379
13876.070000000003,13873.850404286384
13874.002000000002,13880.945889326573
13858.05,13867.087221668242
13844.756,13864.083398828405
13834.984,13846.13936416498
13813.463999999998,13843.773422461156
13822.198,13823.710734057548
13807.678,13820.70470048189
13808.744,13809.308203492164
13810.428,13809.338028558732
13801.597999999998,13796.99953774309
13802.486,13803.452549557329
13800.06,13797.024242445112
13791.996,13803.084603128435
13796.042,13797.51664669919
13793.024,13790.81073025429
13769.712,13789.645418971062
13757.294,13774.490283000468
13741.188,13754.040343512295
13740.594,13742.825503647327
13730.794,13755.774189041138
13705.920000000002,13713.150786120414
13712.766,13706.0809860667
13696.022,13734.451407272101
13707.59,13698.943591024517
13700.596,13702.757416930555
13705.372,13694.038475646974
13699.956,13704.409469358443
13697.278,13701.790304553748
13686.656,13717.036570609807
13678.038,13691.10198567152
13658.041999999998,13688.316681846141
13650.818,13659.625880456686
13674.432,13654.428939789295
13681.922,13663.01037702179
13673.216,13672.795784346343
13634.532,13658.294365649936
13595.128,13662.895852630138
13599.942,13621.336568447114
13607.27,13600.49534686184
13593.48,13608.620930892945
13560.5,13591.45256973052
13549.208,13563.61253771019
13559.566,13549.840027468084
13586.428,13560.889734349847
13564.406,13564.839829244613
13570.542,13568.450131773949
13577.216,13571.26505457306
13574.124,13574.590681802989
13549.406,13570.503003467798
13541.026000000002,13550.98406491816
13542.142000000002,13543.474063490867
13568.942,13543.905028442383
13581.98,13559.487727619648
13599.712,13579.363393775226
13617.406,13597.33954248953
13631.142000000002,13617.884032331945
13612.526000000002,13641.000347250938
13647.026000000002,13620.703971326351
13649.608000000002,13647.464799625397
13649.973999999998,13649.869179253103
13644.666,13651.307738132002
13623.596,13639.635486979963
13591.216,13631.436688084961
13592.028,13594.54002167225
13569.812,13586.22422692859
13549.524,13572.612973784566
13586.326,13557.819166299581
13579.243514011998,13574.805002267838
13550.326,13584.034269676924
13487.132,13559.90552580452
13451.316,13491.727871277808
13371.216,13462.129775370717
13345.824000000002,13368.254393960995
13396.28,13340.111677215456
13417.504,13471.338664844036
13380.026000000002,13391.952018558026
13393.086,13369.763093464851
13420.488,13385.80606888962
13440.009999999998,13422.066129612924
13414.958000000002,13436.92502117157
13425.448,13419.860114232542
13462.068,13425.212388131618
13453.488,13462.418385827064
13454.736,13491.377302013634
13473.868,13450.578304881576
13461.14,13471.001270152092
13440.828,13465.818425924777
13412.38,13433.859327444075
13403.8,13420.678962544442
13431.74,13405.593624782801
13454.588,13412.017942191362
13500.285999999998,13445.333587617873
13503.558,13491.144040894507
13517.814000000002,13505.541976881026
13552.408,13518.42832821846
13517.31,13547.308541678905
13537.038,13532.000038362024
13524.234000000002,13529.437943605186
13529.712,13530.344627449038
13528.95,13530.833639101027
13525.444,13511.816775165797
13545.618,13519.423213579059
13538.374,13537.976514922144
13537.198,13547.158386182784
13517.579999999998,13542.606991553308
13513.126,13520.991471808671
13516.994,13514.917308988452
13507.212,13516.261149886966
13508.616000000002,13516.6290181489
13491.828,13507.685874395369
13489.638,13497.570439265848
13487.997999999998,13484.240868784309
13484.590000000002,13482.704176980256
13483.007999999998,13480.427584380628
13482.820000000003,13477.132494805812
13488.77,13478.674041273594
13514.147999999996,13491.064255114792
13516.306,13505.44555442095
13513.357999999998,13524.219166992185
13504.588,13500.655957233908
13495.628,13533.72287586689
13474.128,13505.70307519054
13449.507999999998,13476.193452379466
13471.882,13444.824723752736
13458.444,13462.408539725542
13438.906,13454.447438229085
13416.579999999998,13439.075800841332
13441.151999999998,13423.707595125197
13498.806,13434.79043645668
13500.19,13492.443841838836
13490.901999999998,13503.195962980748
13495.966,13489.590141899584
13526.106000000002,13501.671255523679
13522.506,13526.763946711064
13568.402000000002,13509.302128708363
13583.746,13496.770470835445
13593.816,13585.966371218443
13626.878,13600.940836192847
13603.426,13625.05391011691
13566.141999999998,13618.597243271115
13567.22,13579.239463859796
13582.332,13566.25843168974
13586.986,13583.285060078502
13583.64,13577.354656601667
13598.059999999998,13581.419784284828
13605.44,13594.03870961666
13607.986,13603.97666550064
13608.85,13605.985021742345
13618.488,13606.91900035858
13627.04,13614.061039774415
13634.218,13596.267373752595
13628.728,13641.177800301792
13631.948,13635.89051873684
13628.038,13636.269650908469
13627.829999999998,13636.33684041977
13633.015999999998,13632.021372666002
13628.257999999998,13630.549256171225
13613.222,13628.991212725401
13609.54,13613.162453312516
13624.242000000002,13608.110230706332
13634.107999999998,13617.90749412584
13625.47,13630.867131616114
13613.882,13628.384030833482
13609.398,13622.519068756104
13598.842,13613.900312686088
13584.558,13606.320035122393
13597.018,13588.263370657563
13594.336,13585.06901207304
13580.082,13595.29233301556
13561.066,13587.901140126944
13523.782,13570.80924723673
13499.30879591,13542.123289386987
13487.322,13494.986076192856
13466.514,13484.682686762453
13496.928,13459.839041996718
13473.819999999998,13475.347863773106
13488.435999999998,13476.406853999137
13495.784,13462.900108129621
13502.324,13482.925325052021
13506.641999999998,13503.762858673095
13483.808,13505.246997437474
13472.096,13496.285996632574
13483.973999999998,13482.726793972015
13496.45,13487.148668088914
13461.872,13500.079162304875
13433.648,13469.638007860185
13407.486,13443.669817825317
13441.018,13419.016754016637
13447.112,13435.583620268108
13467.274,13441.005043096542
13490.247999999998,13457.710871318817
13490.564000000002,13476.709836200953
13499.285999999998,13494.888733520746
13536.532,13510.202084431647
13557.136000000002,13522.37055194354
13509.469999999998,13549.129275686262
13534.532,13506.446588632585
13548.904,13522.700446270464
13540.166,13571.831257934093
13543.208000000002,13549.117538502695
13571.855184366,13534.705819208619
13563.076,13561.239304501056
13560.747999999998,13569.854178359032
13547.035999999998,13607.377689023971
13520.662,13563.614979217531
13518.275999999998,13537.793720628935
13519.472,13512.176113444804
13515.192,13511.11696410918
13517.070000000003,13514.47896005249
13522.942,13517.003240079403
13538.714000000002,13523.453762602327
13534.622,13532.713288894653
13496.968,13537.87680102539
13468.622,13503.237277405862
13501.376,13472.283004806755
13524.072,13495.888896403196
13490.728,13522.859123287797
13478.579999999998,13493.712261414052
13469.094,13483.647063118457
13476.092,13479.00087779236
13488.452,13471.156535219192
13484.553999999998,13480.381515984058
13476.791999999998,13482.013671648501
13499.982,13487.603830907821
13489.606000000002,13499.499952372074
13474.79,13517.797065236091
13447.24,13490.649579715728
